电台ID,电台名称,分类名称,播放地址
1011,清晨音乐台,音乐台,http://live.ximalaya.com/radio-first-page-app/live/1011/64.m3u8
999,AsiaFM亚洲粤语台,音乐台,http://live.ximalaya.com/radio-first-page-app/live/999/64.m3u8
1427,AsiaFM HD音乐台,音乐台,http://live.ximalaya.com/radio-first-page-app/live/1427/64.m3u8
1005,AsiaFM亚洲经典台,None,http://live.ximalaya.com/radio-first-page-app/live/1005/64.m3u8
764,AsiaFM亚洲音乐台,None,http://live.ximalaya.com/radio-first-page-app/live/764/64.m3u8
1912,AsiaFM亚洲天空台,音乐台,http://live.ximalaya.com/radio-first-page-app/live/2152/64.m3u8
1769,AsiaFM亚洲热歌台,音乐台,http://live.ximalaya.com/radio-first-page-app/live/1908/64.m3u8
1015,听梦想FM,音乐台,http://live.ximalaya.com/radio-first-page-app/live/1015/64.m3u8
2126,卷卷猫电台,None,http://live.ximalaya.com/radio-first-page-app/live/2690/64.m3u8
1006,萤火虫网络电台,None,http://live.ximalaya.com/radio-first-page-app/live/1006/64.m3u8
1027,Big Big MIX,音乐台,http://live.ximalaya.com/radio-first-page-app/live/1027/64.m3u8
1939,国乐悠扬,音乐台,http://live.ximalaya.com/radio-first-page-app/live/2291/64.m3u8
1428,蝠声挚光体育,None,http://live.ximalaya.com/radio-first-page-app/live/1428/64.m3u8
