电台ID,电台名称,分类名称,播放地址
966,怀集音乐之声,音乐台,http://live.ximalaya.com/radio-first-page-app/live/966/24.m3u8
252,广东珠江经济电台,经济台,http://live.ximalaya.com/radio-first-page-app/live/252/24.m3u8
967,广东广播电视台文体广播,体育台,http://live.ximalaya.com/radio-first-page-app/live/967/24.m3u8
245,广东新闻广播,新闻台,http://live.ximalaya.com/radio-first-page-app/live/245/24.m3u8
248,广东交通之声,交通台,http://live.ximalaya.com/radio-first-page-app/live/248/24.m3u8
74,广东音乐之声,音乐台,http://live.ximalaya.com/radio-first-page-app/live/74/24.m3u8
262,深圳先锋898,None,http://live.ximalaya.com/radio-first-page-app/live/262/24.m3u8
256,广州新闻资讯广播,新闻台,http://live.ximalaya.com/radio-first-page-app/live/256/24.m3u8
1205,怀集音乐之声第二台,音乐台,http://live.ximalaya.com/radio-first-page-app/live/1205/24.m3u8
247,广东城市之声,综合台,http://live.ximalaya.com/radio-first-page-app/live/247/24.m3u8
257,广州金曲音乐广播,音乐台,http://live.ximalaya.com/radio-first-page-app/live/257/24.m3u8
258,广州交通广播,None,http://live.ximalaya.com/radio-first-page-app/live/258/24.m3u8
249,广东南方生活广播,生活台,http://live.ximalaya.com/radio-first-page-app/live/249/24.m3u8
259,广州MYFM 88.0,综合台,http://live.ximalaya.com/radio-first-page-app/live/259/24.m3u8
263,深圳飞扬971,None,http://live.ximalaya.com/radio-first-page-app/live/263/24.m3u8
264,深圳交通频率,None,http://live.ximalaya.com/radio-first-page-app/live/264/24.m3u8
255,广东广播电视台珠江之声,综合台,http://live.ximalaya.com/radio-first-page-app/live/255/24.m3u8
2176,FM92.8斗门电台,None,http://live.ximalaya.com/radio-first-page-app/live/2740/24.m3u8
2348,深圳电台湾区之声1043,None,http://live.ximalaya.com/radio-first-page-app/live/2912/24.m3u8
1228,东莞综合广播,None,http://live.ximalaya.com/radio-first-page-app/live/1228/24.m3u8
1191,中山电台快乐888,None,http://live.ximalaya.com/radio-first-page-app/live/1191/24.m3u8
1198,清远综合广播,None,http://live.ximalaya.com/radio-first-page-app/live/1198/24.m3u8
1210,东莞交通广播,交通台,http://live.ximalaya.com/radio-first-page-app/live/1210/24.m3u8
1220,中山电台新锐967,None,http://live.ximalaya.com/radio-first-page-app/live/1220/24.m3u8
265,深圳生活广播,None,http://live.ximalaya.com/radio-first-page-app/live/265/24.m3u8
2328,肇庆综合广播,综合台,http://live.ximalaya.com/radio-first-page-app/live/2892/24.m3u8
1216,台山人民广播电台,None,http://live.ximalaya.com/radio-first-page-app/live/1216/24.m3u8
2080,宝安905,None,http://live.ximalaya.com/radio-first-page-app/live/2644/24.m3u8
283,FM91.6 阳江综合广播,综合台,http://live.ximalaya.com/radio-first-page-app/live/283/24.m3u8
2281,惠州音乐广播,None,http://live.ximalaya.com/radio-first-page-app/live/2845/24.m3u8
2321,开平电台,None,http://live.ximalaya.com/radio-first-page-app/live/2885/24.m3u8
2178,佛冈电台,综合台,http://live.ximalaya.com/radio-first-page-app/live/2742/24.m3u8
2059,广宁综合广播,None,http://live.ximalaya.com/radio-first-page-app/live/2603/24.m3u8
2329,肇庆旅游之声,旅游台,http://live.ximalaya.com/radio-first-page-app/live/2893/24.m3u8
1698,FM89.5 阳江旅游环保广播,None,http://live.ximalaya.com/radio-first-page-app/live/1805/24.m3u8
2324,梅州电台交通广播,None,http://live.ximalaya.com/radio-first-page-app/live/2888/24.m3u8
2282,惠州综合广播,None,http://live.ximalaya.com/radio-first-page-app/live/2846/24.m3u8
1702,客都之声 FM1039,None,http://live.ximalaya.com/radio-first-page-app/live/1809/24.m3u8
2075,从化电台流溪河之声,None,http://live.ximalaya.com/radio-first-page-app/live/2635/24.m3u8
2284,博罗电台,None,http://live.ximalaya.com/radio-first-page-app/live/2848/24.m3u8
2190,FM93.5茂名交通广播,None,http://live.ximalaya.com/radio-first-page-app/live/2754/24.m3u8
2283,惠州经济环保广播,None,http://live.ximalaya.com/radio-first-page-app/live/2847/24.m3u8
2048,增城电台FM89.0,None,http://live.ximalaya.com/radio-first-page-app/live/2564/24.m3u8
